model,l,tone,n_covers,woc
Adele,0.796199095,#E3C1B2,2,0
Adwoa Aboah,0.486862745,#BA673E,1,1
Alicia Vikander,0.75630375,#E8B398,2,0
Amal Clooney,0.72373581,#DBAF95,1,1
Amanda Seyfried,0.66379085,#D59B7C,1,0
Amber Valletta,0.661522791,#C6A08A,3,0
Amy Adams,0.857352941,#ECCDC9,1,0
Amy Schumer,0.756951872,#E4BD9D,1,0
Andreea Diaconu,0.649542484,#D49476,1,0
Angela Lindvall,0.695933601,#D2A58F,2,0
Angelina Jolie,0.668934642,#CB9E89,5,0
Anna Jagodzinska,0.658431373,#D5AA7A,1,0
Anne Hathaway,0.789093137,#EAC4A7,3,0
Arizona Muse,0.650544662,#D59376,1,0
Ashley Graham,0.554656863,#D0724A,1,0
Ashley Judd,0.518552036,#AD705B,1,0
Beyonce,0.546182014,#B37D62,4,1
Blake Lively,0.607964519,#C49571,3,0
Bridget Hall,0.726797386,#DEAC94,1,0
Britney Spears,0.70802139,#DBAA8E,1,0
Brooke Shields,0.552249135,#B18A67,1,0
Cameron Diaz,0.560171569,#A88C74,2,1
Cara Delevingne,0.717189542,#E3A58A,2,0
Carey Mulligan,0.756781046,#E6BD9A,3,0
Carmen Kass,0.640623848,#CD9778,4,0
Caroline Trentini,0.609607843,#C29774,1,?
Carolyn Murphy,0.63315508,#CF9273,2,0
Cate Blanchett,0.684691015,#C6A895,5,0
Catherine Zeta-Jones,0.709591503,#CFA999,2,0
Charlize Theron,0.684356765,#D8A884,6,0
Christy Turlington,0.584464555,#AE8D7A,2,0
Claire Danes,0.792810458,#EFC5A4,1,0
Claire Foy,0.858226769,#EFD0C5,1,0
Daisy Ridley,0.692156863,#D1A38F,1,0
Dakota Johnson,0.754253813,#EAAA95,2,0
Daria Werbowy,0.834858388,#ECD1BD,1,0
Debra Messing,0.597385621,#C09070,1,0
Demi Moore,0.645490196,#C39E86,1,0
Doutzen Kroes,0.63627451,#C79A7D,1,0
Drew Barrymore,0.696968695,#D4AD8D,3,0
Edie Campbell,0.647303922,#D29277,1,0
Elle Fanning,0.713554987,#D2A999,1,0
Emily Blunt,0.68177624,#D99C82,1,0
Emma Stone,0.773625529,#E6BAA4,3,0
Emma Watson,0.795588235,#E1C5B4,1,0
Fei Fei Sun,0.659912854,#D6967A,1,1
Frankie Rayder,0.710726644,#DCB08D,1,0
Gigi Hadid,0.570895887,#C97E59,3,?
Gisele Bundchen,0.670072372,#D29F82,9,0
Gwen Stefani,0.651740196,#C99F82,2,0
Gwyneth Paltrow,0.687701681,#D5A888,5,0
Halle Berry,0.54246732,#B07E63,2,1
Hilary Rhoda,0.630952381,#C3967E,1,1
Hope Solo,0.659869281,#CDA182,1,1
Imaan Hammam,0.464542484,#AE5E3E,2,1
Jennifer Aniston,0.589623397,#C08E6B,4,0
Jennifer Connelly,0.761029412,#E2BFA0,2,0
Jennifer Hudson,0.493382353,#A67955,1,1
Jennifer Lawrence,0.69251068,#D5A58B,3,0
Jennifer Lopez,0.656279178,#CAA083,2,1
Jessica Biel,0.68627451,#D1A48C,1,0
Jessica Chastain,0.86127451,#F8D2BE,1,0
Joan Smalls,0.527818627,#B77156,1,1
Julianne Moore,0.714040616,#D2A999,2,0
Karlie Kloss,0.641437908,#D78E6F,2,0
Karolina Kurkova,0.647511312,#C79B83,1,0
Kate Bosworth,0.515686275,#A67D61,1,0
Kate Hudson,0.666499406,#CCA586,5,0
Kate Moss,0.588562092,#B69275,2,0
Kate Upton,0.688235294,#DDA681,1,0
Kate Winslet,0.720388287,#DDAE90,2,0
Katy Perry,0.801942435,#EAC3AE,2,0
Keira Knightley,0.706224401,#D6AD91,5,0
Kendall Jenner,0.700057333,#DCA087,3,0
Kim Kardashian,0.739542484,#E1B297,1,?
Kirsten Dunst,0.684375973,#D6AE86,2,0
Kristen Stewart,0.731652661,#D6B79E,1,0
Lady Gaga,0.817217931,#DFCCC0,3,0
Lena Dunham,0.77739331,#E0C1AC,1,0
Lily Donaldson,0.593333333,#BD8F70,1,0
Linda Evangelista,0.649859944,#CA9A81,2,0
Lisa-Marie Presley,0.724420677,#D2B59F,1,0
Liu Wen,0.560980392,#C87955,1,1
Liya Kebede,0.504396203,#AE7B52,2,1
Lupita Nyongo,0.326855742,#6B413B,4,1
Madonna,0.675980392,#CBA78D,1,0
Maggie Rizer,0.66,#D3A87D,1,0
Margot Robbie,0.635947712,#D29F72,1,0
Marion Cotillard,0.606078431,#BF9475,3,0
Marion Jones,0.558371041,#C77955,1,1
Melania Trump,0.74956427,#DBBCA2,1,0
Meryl Streep,0.721960784,#DCB393,2,0
Michelle Obama,0.445517429,#A16241,3,1
Michelle Williams,0.788601405,#DDCBB4,2,0
Natalia Vodianova,0.732127295,#E0B694,4,0
Natalie Portman,0.691140784,#D2A88D,4,0
Nicole Kidman,0.702280809,#CEAF96,7,0
Penelope Cruz,0.617090487,#C89371,5,1
Priscilla Presley,0.772096531,#D4C0B5,1,0
Rachel McAdams,0.754901961,#D6BAAA,1,0
Rachel Weisz,0.673669468,#C8A38F,1,0
Reese Witherspoon,0.631381264,#C3977E,5,0
Renee Zellweger,0.686428624,#CBA991,4,0
Rihanna,0.617069259,#C78E72,5,1
Riley Keough,0.757329599,#D5BBAC,1,0
Rooney Mara,0.737874183,#D5B2A2,3,0
Ruth Negga,0.553594771,#B88162,1,1
Salma Hayek,0.58583878,#BB8A6F,1,1
Sandra Bullock,0.624362745,#C69477,4,0
Saoirse Ronan,0.634238311,#CAA378,1,0
Sarah Jessica Parker,0.620602718,#C39A78,6,0
Sasha Pivovarova,0.639433551,#C99C7C,1,0
Scarlett Johansson,0.657796452,#C19E8D,2,0
Selena Gomez,0.623227753,#CE966F,1,1
Serena Williams,0.416404062,#925841,3,1
Sienna Miller,0.683453159,#D4A687,4,0
Taylor Swift,0.720754228,#DDAA91,3,0
Tina Fey,0.609150327,#D09466,1,0
Uma Thurman,0.65321267,#CEA57E,2,0
Vanessa Axente,0.674379085,#DB997C,1,0
Vittoria Ceretti,0.621746881,#DB8861,1,0
Winona Ryder,0.727591036,#CEAFA4,1,0
Zendaya,0.598039216,#C6876A,1,1
